uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
SL49_020000a,SL49,NH,0.6686,0.7036,0.7191,0.4094,0.5218,0.5393,0.6686,0.4866,0.078,0.1039,0.5544,0.6711,0.4722,0.5255,0.7731,0.3981,0.0,0.0,0.0,0.2912,0.415,0.2242,0.3428
SL49_020000b,SL49,NH,0.5699,0.5802,0.8318,0.4419,0.5772,0.4767,0.5699,0.4735,0.0118,0.0846,0.5454,0.7999,0.4137,0.5806,0.9315,0.4218,0.6513,0.742,0.5803,0.5856,0.9099,0.4318,0.5907
SL49_020000c,SL49,NH,0.669,0.7525,0.8457,0.3536,0.4987,0.5893,0.669,0.5893,0.0186,0.0611,0.5276,0.8473,0.3831,0.1868,0.7749,0.1062,0.5887,0.853,0.4495,0.2225,0.642,0.1346,0.3814
SL59_020013a,SL59,HI,0.6724,0.7074,0.6988,0.3893,0.5,0.4354,0.6654,0.4433,0.0498,0.1723,0.4873,0.6003,0.4102,0.0,0.0,0.0,0.6559,0.7609,0.5764,0.2219,0.5829,0.137,0.3413
SL59_020013b,SL59,HI,0.5465,0.6391,0.7395,0.4852,0.5859,0.3724,0.5465,0.3653,0.0313,0.15,0.4447,0.7356,0.3187,0.0,0.0,0.0,0.6864,0.7577,0.6274,0.4279,0.512,0.3676,0.3897
SL59_020013c,SL59,HI,0.5976,0.6264,0.7808,0.4281,0.553,0.4311,0.5964,0.4387,0.0244,0.1332,0.4619,0.8105,0.3229,0.4477,0.7319,0.3224,0.7136,0.7833,0.6552,0.0,0.0,0.0,0.4058
SM42_020215a,SM42,NH,0.4864,0.5781,0.7295,0.6063,0.6622,0.2309,0.4856,0.2184,0.092,0.1753,0.4447,0.4093,0.4869,0.0,0.0,0.0,0.8203,0.854,0.7891,0.4696,0.6393,0.3711,0.4336
SM42_020215b,SM42,NH,0.6747,0.7386,0.5782,0.4899,0.5304,0.268,0.6796,0.2518,0.1119,0.3159,0.2915,0.3192,0.2683,0.6685,0.6546,0.6831,0.0,0.0,0.0,0.262,0.3841,0.1988,0.3055
SM42_020215c,SM42,NH,0.5964,0.7257,0.6205,0.52,0.5658,0.2793,0.5964,0.276,0.0523,0.2681,0.2856,0.4721,0.2047,0.6923,0.6954,0.6892,0.0,0.0,0.0,0.2504,0.3025,0.2136,0.3071
TM19_020526a,TM19,HI,0.5735,0.5992,0.8337,0.4482,0.583,0.4803,0.5735,0.4785,0.0216,0.0734,0.526,0.8284,0.3854,0.6473,0.8313,0.53,0.5474,0.9052,0.3924,0.0,0.0,0.0,0.4302
TM19_020526b,TM19,HI,0.66,0.6407,0.7434,0.405,0.5243,0.552,0.66,0.5045,0.065,0.0905,0.525,0.815,0.3872,0.5594,0.6145,0.5134,0.522,0.7413,0.4029,0.0,0.0,0.0,0.4016
TM19_020526c,TM19,HI,0.5484,0.6407,0.856,0.5092,0.6386,0.4119,0.5484,0.4225,0.043,0.0829,0.4901,0.6237,0.4036,0.7526,0.9683,0.6156,0.0353,0.0998,0.0215,0.7062,0.9029,0.5799,0.496
TP18_020615a,TP18,NH,0.8783,0.6428,0.6761,0.2269,0.3398,0.8542,0.8086,0.7649,0.0355,0.0082,0.5678,0.5563,0.5799,0.3208,0.8712,0.1966,0.0,0.0,0.0,0.6522,1.0,0.4839,0.3852
TP18_020615b,TP18,NH,0.618,0.7606,0.704,0.4091,0.5175,0.4498,0.6093,0.4367,0.0125,0.1601,0.3508,0.5634,0.2547,0.5984,0.7622,0.4925,0.0,0.0,0.0,0.3547,0.5686,0.2577,0.326
TP18_020615c,TP18,NH,0.7175,0.7424,0.7005,0.293,0.4132,0.5848,0.7175,0.584,0.0105,0.123,0.4229,0.6741,0.3081,0.3854,0.7735,0.2567,0.0,0.0,0.0,0.4239,0.6756,0.3089,0.308
VA66_020527a,VA66,HI,0.4836,0.6564,0.7442,0.5704,0.6458,0.2746,0.4836,0.2746,0.0365,0.1725,0.3788,0.4878,0.3096,0.7261,0.8291,0.6459,0.0,0.0,0.0,0.3675,0.4023,0.3382,0.3681
VA66_020527b,VA66,HI,0.5305,0.6228,0.7227,0.49,0.584,0.3311,0.5305,0.3311,0.0206,0.1788,0.5136,0.6286,0.4341,0.663,0.7981,0.567,0.0,0.0,0.0,0.4525,0.5863,0.3685,0.4073
VA66_020527c,VA66,HI,0.6896,0.756,0.7826,0.3185,0.4527,0.5987,0.6896,0.5979,0.0081,0.0837,0.262,0.73,0.1597,0.5418,0.7943,0.4111,0.0,0.0,0.0,0.3465,0.7574,0.2246,0.2876
WA04_020716a,WA04,HI,0.5644,0.6037,0.853,0.4386,0.5793,0.4808,0.5644,0.4868,0.003,0.0745,0.6018,0.8649,0.4614,0.0,0.0,0.0,0.5301,0.8165,0.3925,0.0,0.0,0.0,0.283
WA04_020716b,WA04,HI,0.584,0.7219,0.8623,0.4253,0.5696,0.4999,0.584,0.5125,0.009,0.0625,0.7115,0.8245,0.6257,0.0,0.0,0.0,0.4513,0.9393,0.297,0.0,0.0,0.0,0.2907
WA04_020716c,WA04,HI,0.6022,0.7779,0.7828,0.4226,0.5489,0.4563,0.5937,0.4534,0.0253,0.115,0.4146,0.6842,0.2974,0.65,0.8013,0.5468,0.2668,0.7866,0.1607,0.0,0.0,0.0,0.3328
WA50_020818a,WA50,HI,0.6006,0.8067,0.7741,0.4307,0.5535,0.4849,0.5984,0.4748,0.0148,0.1088,0.5968,0.7795,0.4835,0.0,0.0,0.0,0.5178,0.7654,0.3913,0.0,0.0,0.0,0.2787
WA50_020818b,WA50,HI,0.5376,0.586,0.8684,0.4735,0.6128,0.4644,0.5376,0.4603,0.0111,0.0662,0.6432,0.9117,0.4969,0.5315,0.7444,0.4133,0.0,0.0,0.0,0.0,0.0,0.0,0.2937
WA50_020818c,WA50,HI,0.7172,0.7786,0.6505,0.3131,0.4227,0.5448,0.7172,0.5377,0.0303,0.1491,0.4342,0.6102,0.337,0.3782,0.6071,0.2746,0.4623,0.7066,0.3435,0.1688,0.7252,0.0955,0.3609
WE17_020711a,WE17,HI,0.6027,0.6043,0.9631,0.4007,0.5659,0.5803,0.6027,0.5859,0.0033,0.0136,0.5647,0.9926,0.3946,0.0,0.0,0.0,0.5711,0.9156,0.4149,0.0,0.0,0.0,0.284
WE17_020711b,WE17,HI,0.4619,0.5016,0.947,0.5466,0.6931,0.426,0.4619,0.426,0.0086,0.0274,0.7093,0.9699,0.559,0.0,0.0,0.0,0.6144,0.8104,0.4948,0.0,0.0,0.0,0.3309
WE17_020711c,WE17,HI,0.6735,0.7975,0.7393,0.36,0.4842,0.5353,0.6735,0.5353,0.0257,0.1125,0.3561,0.545,0.2645,0.5707,0.8409,0.4319,0.3403,0.9731,0.2062,0.0,0.0,0.0,0.3168
WG24_021112a,WG24,NH,0.4346,0.4591,0.8272,0.6109,0.7028,0.2899,0.4346,0.2873,0.0455,0.1018,0.6643,0.8407,0.549,0.7505,0.8088,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3537
WG24_021112b,WG24,NH,0.527,0.7007,0.7481,0.5332,0.6226,0.3122,0.527,0.3083,0.0594,0.1593,0.6412,0.8099,0.5307,0.6115,0.6156,0.6073,0.0,0.0,0.0,0.0,0.0,0.0,0.3132
WG24_021112c,WG24,NH,0.5674,0.6143,0.7596,0.4488,0.5642,0.4152,0.5674,0.4152,0.0162,0.136,0.6069,0.7007,0.5352,0.5356,0.8078,0.4006,0.5321,0.7961,0.3996,0.0,0.0,0.0,0.4186
WH09_020515a,WH09,HI,0.5481,0.5451,0.7471,0.4734,0.5796,0.385,0.5654,0.3867,0.0281,0.1506,0.5714,0.691,0.4871,0.5637,0.777,0.4422,0.0,0.0,0.0,0.0,0.0,0.0,0.2838
WH09_020515b,WH09,HI,0.6607,0.6598,0.6035,0.4433,0.5111,0.3537,0.6603,0.3142,0.1036,0.2425,0.409,0.5082,0.3421,0.6095,0.6874,0.5474,0.0,0.0,0.0,0.5475,0.5414,0.5538,0.3915
WH09_020515c,WH09,HI,0.6451,0.7075,0.6847,0.3919,0.4985,0.4476,0.6451,0.4476,0.0369,0.1605,0.4517,0.5496,0.3834,0.5975,0.7841,0.4827,0.0,0.0,0.0,0.3066,0.686,0.1975,0.3389
WM15_020618a,WM15,NH,0.5342,0.5741,0.8362,0.4823,0.6118,0.4307,0.5342,0.4358,0.0164,0.0819,0.646,0.8446,0.523,0.5485,0.8127,0.4139,0.0,0.0,0.0,0.0,0.0,0.0,0.2986
WM15_020618b,WM15,NH,0.5205,0.5278,0.8946,0.4963,0.6384,0.4322,0.5205,0.4294,0.0168,0.0743,0.645,0.924,0.4954,0.0,0.0,0.0,0.6522,0.8755,0.5196,0.0,0.0,0.0,0.3243
WM15_020618c,WM15,NH,0.625,0.64,0.8016,0.4098,0.5423,0.5074,0.5094,0.3403,0.0548,0.1143,0.6085,0.7391,0.5171,0.0,0.0,0.0,0.7062,0.8329,0.613,0.0,0.0,0.0,0.3287
